s,albumin,alpha2_m,tbars
sample_01,1.60334,15379.573,71.235
sample_02,1.8539,13718.735,72.68524779
sample_03,1.8733,9859.5955,53.58
sample_04,2.30105,11357.383,54.50369231
sample_05,1.73612,9180.3541,45.2409646
sample_06,1.68285,11108.497,36.195
sample_07,1.67183,12458.65,69.01786957
sample_08,1.53763,10108.54,77.75363636
sample_09,1.59173,9108.54,45.72737931
sample_10,1.30738,5816.0199,42.775
sample_11,1.24424,3428.2652,65.49
sample_12,1.1332,6179.6463,67.11405941
sample_13,1.19524,4863.9094,70.21447423
sample_14,1.04443,6525.9753,39.34641667
sample_15,1.1767,1926.3102,42.72076923
sample_16,1.35566,3356.352,45.47368657
sample_17,1.33472,2006.43,46.01723762
sample_18,1.25526,2375.44,5.483982456